ID,Species,Sex,SVL (mm),Mass (g),Femur Length (mm),Tibia Length (mm),4th-toe Metatarsal Length (mm),4th-toe Phalanges Length (mm),Humerus Length (mm),Ulna Length (mm),3rd-toe metacarpal+phalanges Length (mm),Head Length (mm),Head Width (mm),Pectoral Width (mm),Pelvis Width (mm),Tail Length (mm),3rd-toe Forefoot Toepad (mm2),4th-toe Hindfoot Toepad (mm2)
A01,A. cristatellus,M,44,2.09,10.9152,9.3752,6.0142,6.7864,7.4284,6.365,4.8901,11.9473,7.8716,5.6614,4.2041,81.2541,1.0961,1.8343
A02,A. stratulus,F,42,1.51,8.485,7.289,4.7109,5.2616,6.7861,5.8593,4.2663,11.1792,6.2752,4.4309,4.1608,49.3072,1.0453,1.4085
A03,A. cristatellus,F,45,2.62,10.7044,9.0158,6.0096,6.4081,7.9644,6.4899,4.8054,11.7085,7.566,4.8009,5.255,45.1071,1.0244,1.4651
A04,A. cristatellus,F,43,1.85,10.5885,8.9871,5.7143,6.4459,7.0229,6.0459,4.5815,11.7319,7.6171,5.1612,3.7411,75.6539,1.2723,1.6644
A05,A. cristatellus,F,47.5,3.79,12.2687,9.9392,6.3151,7.4489,8.2465,7.5024,5.2669,12.3248,8.3795,5.6402,5.0673,94.3354,1.3131,2.1955
A06,A. cristatellus,M,65,7.38,13.6602,13.4524,8.037,10.1628,11.0849,9.3157,7.2439,15.8578,11.2322,7.824,6.6262,111.5544,2.5275,4.7505
A07,A. cristatellus,M,60.5,6.14,15.3215,12.6695,7.1815,9.5671,10.4386,8.5866,6.4168,15.0825,10.6326,7.5773,6.574,73.5598,2.6763,3.8409
A08,A. stratulus,M,49,2.19,10.0827,8.7835,5.0415,6.0873,8.1324,7.0073,5.2889,13.2079,7.4326,5.3272,4.6256,46.9664,1.2613,2.0594
A09,A. stratulus,M,46,1.81,9.5244,8.4989,4.8446,6.4526,7.7288,6.6696,4.7514,12.441,7.2261,4.885,4.4042,64.942,1.3206,1.8321
A10,A. stratulus,F,43,1.41,8.7753,7.4855,4.6693,5.5997,6.8247,6.1877,4.5368,11.1567,6.1848,4.542,3.7775,70.5448,0.8136,1.3246
A11,A. cristatellus,F,41.5,1.74,9.5494,8.0907,5.1362,5.789,6.9175,6.0896,4.5722,11.0022,6.9267,4.7773,4.4795,65.9132,0.9371,1.2997
A12,A. stratulus,F,41,2.44,8.585,7.4721,4.3017,5.4331,6.8791,5.529,4.3404,10.5642,5.8828,3.8216,4.1183,68.419,0.883,1.2755
A13,A. cristatellus,M,66,7.1,15.8898,13.4858,8.0736,9.6824,11.7831,9.7632,7.074,16.8305,11.7531,8.3029,6.9563,74.3031,2.8434,4.8037
A14,A. cristatellus,F,41.5,1.61,9.9183,8.3418,5.3709,6.1687,7.0078,5.3607,4.3618,11.0287,7.2443,4.938,3.7006,71.7522,1.0292,1.6015
A15,A. stratulus,M,46.5,1.85,9.4574,8.5242,5.0086,5.6943,7.6062,6.9378,4.5397,12.4977,7.0302,4.8913,4.254,43.7999,1.1393,1.866
A16,A. cristatellus,M,58,5.44,13.8231,12.1589,7.4841,8.2663,9.8668,8.4385,6.3188,14.6659,10.4618,7.2625,6.3578,102.521,1.6854,3.184
A17,A. cristatellus,F,47,2.81,11.4614,9.3231,5.7832,7.1564,8.4305,6.8247,4.663,11.9965,7.7984,5.7343,5.3334,84.3783,1.0848,1.7322
A18,A. cristatellus,M,60,5.16,14.8092,12.5665,8.1249,8.3183,10.4863,8.8916,6.6614,15.3489,10.4749,7.265,6.02,91.5635,2.2867,3.7046
