,name,longitude,latitude,prov,date,key
1,"Egernia richardi (Peters, 1869)",135.35552,-33.37579,gbif,10/7/2018,2518494078
2,"Egernia richardi (Peters, 1869)",135.3673,-33.37436,gbif,10/7/2018,2518494873
3,"Egernia richardi (Peters, 1869)",132.8419,-31.5944,gbif,3/23/2013,1632824699
4,"Egernia richardi (Peters, 1869)",133.2541,-31.4426,gbif,3/22/2013,2445961568
5,"Egernia richardi (Peters, 1869)",133.42581,-31.77754,gbif,3/22/2013,2446055447
6,"Egernia richardi (Peters, 1869)",136.000122,-32.28474,gbif,10/12/2011,1632980713
7,"Egernia richardi (Peters, 1869)",136.4428,-32.7575,gbif,10/11/2008,1632594772
8,"Egernia richardi (Peters, 1869)",136.4703,-32.7064,gbif,10/12/2008,1632594776
9,"Egernia richardi (Peters, 1869)",136.4897,-32.8008,gbif,10/16/2008,1632594797
10,"Egernia richardi (Peters, 1869)",136.4897,-32.8008,gbif,10/16/2008,691147014
11,"Ctenophorus maculosus (Mitchell, 1948)",139.6131,-30.6787,gbif,1/1/2016,1637962013
12,"Ctenophorus maculosus (Mitchell, 1948)",137.84445,-31.50492,gbif,9/4/2016,1806037350
13,"Ctenophorus maculosus (Mitchell, 1948)",139.99065,-29.61993,gbif,2/12/2015,1637961063
14,"Ctenophorus maculosus (Mitchell, 1948)",137.77038,-30.5148,gbif,9/27/2015,1632826271
15,"Ctenophorus maculosus (Mitchell, 1948)",137.77411,-30.51587,gbif,9/29/2015,1632826272
16,"Ctenophorus maculosus (Mitchell, 1948)",137.6955,-29.00241,gbif,9/26/2015,1632826391
17,"Ctenophorus maculosus (Mitchell, 1948)",137.77038,-30.5148,gbif,9/28/2015,2445940567
18,"Ctenophorus maculosus (Mitchell, 1948)",137.77127,-30.51454,gbif,9/29/2015,2445998874
19,"Ctenophorus maculosus (Mitchell, 1948)",137.77127,-30.51454,gbif,9/29/2015,2446019488
20,"Ctenophorus maculosus (Mitchell, 1948)",138.95486,-28.8189,gbif,10/29/2013,1632824803
21,"Pogona barbata (Cuvier, 1829)",152.00417,-32.728291,gbif,1/1/2020,2550039834
22,"Pogona barbata (Cuvier, 1829)",151.265129,-33.667939,gbif,1/15/2020,2557808983
23,"Pogona barbata (Cuvier, 1829)",149.8,-35.1,gbif,1/2/2020,2563052910
24,"Pogona barbata (Cuvier, 1829)",153.4,-28,gbif,1/15/2020,2563056079
25,"Pogona barbata (Cuvier, 1829)",153.548492,-28.492287,gbif,1/23/2020,2563563245
26,"Pogona barbata (Cuvier, 1829)",148.32094,-25.261354,gbif,1/4/2020,2563571159
27,"Pogona barbata (Cuvier, 1829)",153.570367,-28.327517,gbif,1/29/2020,2563636794
28,"Pogona barbata (Cuvier, 1829)",149.086154,-35.267066,gbif,1/29/2020,2563638908
29,"Pogona barbata (Cuvier, 1829)",141.083893,-38.064094,gbif,1/14/2020,2563650399
30,"Pogona barbata (Cuvier, 1829)",148.754868,-33.816325,gbif,1/7/2019,1986604295
31,"Tympanocryptis intima Mitchell, 1948",136.85178,-30.36686,gbif,3/6/2017,2445923214
32,"Tympanocryptis intima Mitchell, 1948",136.8521,-30.38343,gbif,3/5/2017,2445923221
33,"Tympanocryptis intima Mitchell, 1948",136.89605,-30.32602,gbif,3/6/2017,2445924942
34,"Tympanocryptis intima Mitchell, 1948",136.85252,-30.35233,gbif,3/8/2017,2445927552
35,"Tympanocryptis intima Mitchell, 1948",136.85116,-30.36687,gbif,3/6/2017,2445931386
36,"Tympanocryptis intima Mitchell, 1948",136.85116,-30.36687,gbif,3/5/2017,2445932934
37,"Tympanocryptis intima Mitchell, 1948",136.85089,-30.35235,gbif,3/6/2017,2445937268
38,"Tympanocryptis intima Mitchell, 1948",136.85116,-30.36687,gbif,3/7/2017,2445937774
39,"Tympanocryptis intima Mitchell, 1948",136.85998,-30.36075,gbif,3/6/2017,2445940118
40,"Tympanocryptis intima Mitchell, 1948",136.84915,-30.38347,gbif,3/5/2017,2445941572
41,"Diporiphora australis (Steindachner, 1867)",145.241221,-15.477463,gbif,1/20/2020,2563528622
42,"Diporiphora australis (Steindachner, 1867)",144.464532,-20.349517,gbif,8/2/2019,2331961051
43,"Diporiphora australis (Steindachner, 1867)",145.971218,-18.266698,gbif,8/31/2019,2542904534
44,"Diporiphora australis (Steindachner, 1867)",152.9,-27.7,gbif,10/2/2019,2521497220
45,"Diporiphora australis (Steindachner, 1867)",153.1,-27.7,gbif,10/21/2019,2521507072
46,"Diporiphora australis (Steindachner, 1867)",149.157074,-21.021395,gbif,12/30/2019,2550104481
47,"Diporiphora australis (Steindachner, 1867)",148.52,-20.2,gbif,1/4/2018,1805894731
48,"Diporiphora australis (Steindachner, 1867)",146.774381,-19.292836,gbif,3/3/2018,1836519940
49,"Diporiphora australis (Steindachner, 1867)",146.759255,-19.335098,gbif,3/21/2018,1838303527
50,"Diporiphora australis (Steindachner, 1867)",146.8,-19.3,gbif,3/2/2018,1844504485
