year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver
2019,4,18,Thursday,11,53,,,birth,,,kch
2019,10,18,Friday,7,50,,,wet,,,ap
2019,10,18,Friday,10,0,,,wet,,,ap
2019,10,18,Friday,12,20,,,wet,,,ap
2019,10,18,Friday,14,25,,,wet,,,ap
2019,10,18,Friday,8,20,,,bottle,1.5,oz,ap
2019,10,18,Friday,10,40,,,bottle,2.5,oz,ap
2019,10,18,Friday,12,30,,,bottle,2,oz,ap
2019,10,18,Friday,14,53,,,bottle,2,oz,ap
2019,10,18,Friday,9,10,9,58,nap,,,ap
2019,10,18,Friday,13,1,13,30,nap,,,ap
2019,10,17,Thursday,7,50,,,wet,,,ap
2019,10,17,Thursday,8,30,,,caregiver_change,,,ap_vona
2019,10,17,Thursday,9,55,,,wet,,,vona
2019,10,17,Thursday,11,53,,,wet,,,vona
2019,10,17,Thursday,13,41,,,bowel,,,vona
2019,10,17,Thursday,15,15,,,wet,,,vona
2019,10,17,Thursday,9,21,9,52,nap,,,vona
2019,10,17,Thursday,14,12,14,45,nap,,,vona
2019,10,17,Thursday,9,8,,,bottle,3,oz,vona
2019,10,17,Thursday,11,5,,,bottle,2,oz,vona
2019,10,17,Thursday,12,10,,,bottle,2,oz,vona
2019,10,17,Thursday,14,0,,,bottle,2,oz,vona
2019,10,16,Wednesday,7,10,,,dry,,,ap
2019,10,16,Wednesday,8,5,,,wet,,,ap
2019,10,16,Wednesday,10,0,,,wet,,,ap
2019,10,16,Wednesday,11,35,,,bowel,,,ap
2019,10,16,Wednesday,13,15,,,wet,,,ap
2019,10,16,Wednesday,8,0,,,bottle,2,oz,ap
2019,10,16,Wednesday,10,40,,,bottle,3.5,oz,ap
2019,10,16,Wednesday,13,20,,,bottle,3,oz,ap
2019,10,16,Wednesday,9,5,9,45,nap,,,ap
2019,10,16,Wednesday,13,30,14,10,nap,,,ap
2019,10,15,Tuesday,6,50,,,dry,,,ap
2019,10,15,Tuesday,7,50,,,wet,,,ap
2019,10,15,Tuesday,10,5,,,wet,,,ap
2019,10,15,Tuesday,12,20,,,bowel,,,ap
2019,10,15,Tuesday,14,10,,,wet,,,ap
2019,10,15,Tuesday,8,0,,,bottle,2,oz,ap
2019,10,15,Tuesday,10,35,,,bottle,2,oz,ap
2019,10,15,Tuesday,12,45,,,bottle,1.5,oz,ap
2019,10,15,Tuesday,14,15,,,bottle,1.5,oz,ap
2019,10,15,Tuesday,9,30,10,0,nap,,,ap
2019,10,15,Tuesday,11,35,12,15,nap,,,ap
2019,9,27,Friday,7,0,,,wet,,,vona
2019,9,27,Friday,7,52,,,bowel,,,vona
2019,9,27,Friday,10,15,,,dry,,,ij
2019,9,27,Friday,11,17,,,bowel,,,ij
2019,9,27,Friday,13,50,,,bowel,,,kc
2019,9,27,Friday,13,45,,,caregiver_change,,,ij_kc
2019,9,27,Friday,8,20,,,bottle,2,oz,vona
2019,9,27,Friday,11,15,,,bottle,2,oz,ij
2019,9,27,Friday,10,20,NA,NA,nap,,,ij
2019,10,10,Thursday,7,55,,,wet,,,ap
2019,10,10,Thursday,9,45,,,wet,,,ap
2019,10,10,Thursday,12,10,,,wet,,,ap
2019,10,10,Thursday,8,25,,,bottle,2,oz,ap
2019,10,10,Thursday,11,20,,,bottle,1,oz,ap
2019,10,10,Thursday,13,10,,,bottle,3,oz,ap
2019,10,10,Thursday,9,18,9,40,nap,,,ap
2019,10,10,Thursday,13,20,NA,NA,nap,,,ap
2019,10,7,Monday,,,,,intro_highflow_nipples,,,jsmkch
2019,10,14,Monday,,,,,intro_sleeping_thru_night,,,jsmkch
2019,8,22,Thursday,10,30,,,wet,,,jr
2019,8,22,Thursday,12,20,,,dry,,,jr
2019,8,22,Thursday,13,30,,,bowel,,,jr
2019,8,22,Thursday,11,0,,,caregiver_change,,,vona_jr
2019,8,22,Thursday,10,45,,,bottle,2,oz,jr
2019,8,22,Thursday,13,40,,,bottle,2,oz,jr
2019,8,22,Thursday,12,30,13,30,nap,,,jr
2019,10,9,Wednesday,8,4,,,wet,,,ij
2019,10,9,Wednesday,10,58,,,wet,,,kc
2019,10,9,Wednesday,12,45,,,bowel,,,ij
2019,10,9,Wednesday,14,30,,,dry,,,ij
2019,10,9,Wednesday,15,0,,,bowel,,,ij
2019,10,9,Wednesday,8,30,,,bottle,1,oz,ij
2019,10,9,Wednesday,11,12,,,bottle,1,oz,ij
2019,10,9,Wednesday,13,0,,,bottle,2,oz,ij
2019,10,9,Wednesday,9,20,10,55,nap,,,ij
2019,10,9,Wednesday,13,15,NA,NA,nap,,,ij
2019,10,8,Tuesday,7,45,,,wet,,,ap
2019,10,8,Tuesday,10,5,,,wet,,,ap
