ï..year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
2019,4,18,Thursday,11,53,NA,NA,birth,NA,,kch,0
2019,4,18,Thursday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow,0
2019,4,20,Saturday,NA,NA,NA,NA,trait_mass,4.14,kg,rainbow,2
2019,4,22,Monday,NA,NA,NA,NA,trait_mass,4.11,kg,rainbow,4
2019,4,22,Monday,NA,NA,NA,NA,trait_length,54.6,cm,rainbow,4
2019,4,22,Monday,NA,NA,NA,NA,trait_head_circum,33,cm,rainbow,4
2019,4,26,Friday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow,8
2019,4,26,Friday,NA,NA,NA,NA,trait_length,56.1,cm,rainbow,8
2019,4,30,Tuesday,NA,NA,NA,NA,trait_mass,4.74,kg,rainbow,12
2019,4,30,Tuesday,NA,NA,NA,NA,trait_length,56.5,cm,rainbow,12
2019,5,20,Monday,NA,NA,NA,NA,trait_mass,5.53,kg,rainbow,32
2019,5,20,Monday,NA,NA,NA,NA,trait_length,61.6,cm,rainbow,32
2019,5,20,Monday,NA,NA,NA,NA,trait_head_circum,38.7,cm,rainbow,32
2019,6,24,Monday,NA,NA,NA,NA,trait_mass,6.69,kg,rainbow,67
2019,6,24,Monday,NA,NA,NA,NA,trait_length,65.4,cm,rainbow,67
2019,6,24,Monday,NA,NA,NA,NA,trait_head_circum,40.6,cm,rainbow,67
2019,8,19,Monday,NA,NA,NA,NA,trait_mass,7.82,kg,rainbow,123
2019,8,19,Monday,NA,NA,NA,NA,trait_length,68.6,cm,rainbow,123
2019,8,19,Monday,NA,NA,NA,NA,trait_head_circum,42.5,cm,rainbow,123
2019,8,22,Thursday,10,30,NA,NA,wet,NA,,jr,126
2019,8,22,Thursday,12,20,NA,NA,dry,NA,,jr,126
2019,8,22,Thursday,13,30,NA,NA,bowel,NA,,jr,126
2019,8,22,Thursday,11,0,NA,NA,caregiver_change,NA,,vona_jr,126
2019,8,22,Thursday,10,45,NA,NA,bottle,2,oz,jr,126
2019,8,22,Thursday,13,40,NA,NA,bottle,2,oz,jr,126
2019,8,22,Thursday,12,30,13,30,nap,NA,,jr,126
2019,8,23,Friday,6,48,NA,NA,arrive,NA,,NA,127
2019,8,23,Friday,7,19,NA,NA,wet,NA,,vona,127
2019,8,23,Friday,9,40,NA,NA,wet,NA,,vona,127
2019,8,23,Friday,11,15,NA,NA,wet,NA,,vona,127
2019,8,23,Friday,13,0,NA,NA,wet,NA,,vona,127
2019,8,23,Friday,8,38,NA,NA,bottle,3.5,oz,vona,127
2019,8,23,Friday,10,30,NA,NA,bottle,2,oz,vona,127
2019,8,23,Friday,12,45,NA,NA,bottle,3,oz,vona,127
2019,8,23,Friday,8,55,9,36,nap,NA,,vona,127
2019,8,23,Friday,11,52,12,46,nap,NA,,vona,127
2019,8,26,Monday,7,10,NA,NA,wet,NA,,vona,130
2019,8,26,Monday,10,15,NA,NA,bowel,NA,,jr,130
2019,8,26,Monday,11,40,NA,NA,bowel,NA,,vona,130
2019,8,26,Monday,13,32,NA,NA,bowel,NA,,vona,130
2019,8,26,Monday,14,32,NA,NA,bowel,NA,,vona,130
2019,8,26,Monday,15,10,NA,NA,bowel,NA,,vona,130
2019,8,26,Monday,7,45,NA,NA,bottle,3,oz,vona,130
2019,8,26,Monday,10,48,NA,NA,bottle,2,oz,vona,130
2019,8,26,Monday,11,40,NA,NA,bottle,2,oz,vona,130
2019,8,26,Monday,14,13,NA,NA,bottle,5,oz,vona,130
2019,8,26,Monday,8,40,10,10,nap,NA,,vona,130
2019,8,26,Monday,12,45,13,20,nap,NA,,vona,130
2019,8,26,Monday,6,35,NA,NA,arrive,NA,,NA,130
2019,8,27,Tuesday,8,0,NA,NA,wet,NA,,jr,131
2019,8,27,Tuesday,10,0,NA,NA,bowel,NA,,jr,131
2019,8,27,Tuesday,10,35,NA,NA,bowel,NA,,jr,131
